function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
embench_func,1,9022944682,20040,82740,8,21,994,35
mont64_run,2,52381135,48,366,2,3,305,0
crc_32_run,3,37662479,147,164,1,0,250,4
libedn_run,4,33709857,118,439,6,7,316,20
libminver_run,5,5150090,12,43,1,1,3,0
nbody_run,5,480763,1,5,0,0,1,0
libhuffbench_run,4,23739425,162,113,0,0,3,2
nettle_aes_run,5,15415577,51,51,0,0,7,2
nettle_sha256_run,5,8417496,5,34,0,0,1,0
basicmath_small_run,3,68991965,168,762,3,0,158,15
matmult_int_run,4,51656034,107,798,0,0,19,3
libsichneu_run,5,12451651,11,11781,0,0,24,1
libpicojpeg_test_run,5,19233043,10,748,0,0,10,0
md5_run,4,51538306,35,341,1,3,236,22
primecount_run,5,17911820,0,10,0,0,0,0
qrtest_run,5,14884437,11,133,0,0,3,2
combined_run,2,27473643,61,359,0,1,149,5
libslre_run,3,24816132,122,192,3,2,214,7
libstatemate_run,4,4321633,6,31,0,0,0,0
tarfind_run,4,4402899,26,7,0,0,0,3
libst_run,3,25124975,63,203,1,3,238,20
libud_run,4,19815043,6,19,0,0,0,0
libwikisort_run,4,2913952,2,9,0,0,0,0
mont64_run,2,52381059,48,330,0,0,3,5
crc_32_run,3,37665998,125,159,0,0,0,3
libedn_run,4,33654450,45,138,0,0,3,0
libminver_run,5,5123420,10,25,0,0,0,0
nbody_run,5,480660,1,2,0,0,0,0
libhuffbench_run,4,23753165,166,143,0,0,3,5
nettle_aes_run,5,15414665,43,62,0,0,1,3
nettle_sha256_run,5,8433332,3,29,0,0,0,2
basicmath_small_run,3,68994322,114,824,0,0,14,7
matmult_int_run,4,51660475,93,819,0,0,0,2
libsichneu_run,5,12418208,13,11630,0,0,2,0
libpicojpeg_test_run,5,19237832,24,770,0,0,0,0
md5_run,4,51524873,32,341,0,0,1,0
primecount_run,5,17911238,5,9,0,0,0,0
qrtest_run,5,14885327,6,105,0,0,0,0
combined_run,2,27469488,82,350,0,0,4,3
libslre_run,3,24803384,122,164,0,0,1,2
libstatemate_run,4,4322197,12,54,0,0,0,0
tarfind_run,4,4402849,16,5,0,0,0,0
libst_run,3,25118644,50,155,0,0,1,3
libud_run,4,19816883,9,11,0,0,0,0
libwikisort_run,4,2914903,12,20,0,0,0,0
mont64_run,2,52367060,43,333,0,0,4,0
crc_32_run,3,37651909,129,161,0,0,0,0
libedn_run,4,33690166,29,111,0,0,4,0
libminver_run,5,5157844,18,32,0,0,0,0
nbody_run,5,480941,0,2,0,0,0,0
libhuffbench_run,4,23736420,165,132,0,0,0,0
nettle_aes_run,5,15421099,52,39,0,0,0,0
nettle_sha256_run,5,8417929,3,44,0,0,0,0
basicmath_small_run,3,68988259,179,814,0,0,5,0
matmult_int_run,4,51654072,100,793,0,0,0,0
libsichneu_run,5,12418739,8,11597,0,0,0,0
libpicojpeg_test_run,5,19231174,10,752,0,0,0,0
md5_run,4,51525487,45,339,0,0,0,0
primecount_run,5,17911742,0,11,0,0,0,0
qrtest_run,5,14885207,5,123,0,0,0,0
combined_run,2,27471646,67,303,0,0,4,0
libslre_run,3,24808133,95,158,0,0,0,0
libstatemate_run,4,4322847,16,70,0,0,0,0
tarfind_run,4,4403076,26,9,0,0,0,0
libst_run,3,25082725,49,147,0,0,2,1
libud_run,4,19780980,6,20,0,0,0,0
libwikisort_run,4,2915012,15,12,0,0,0,0
mont64_run,2,52365434,46,332,0,0,1,0
crc_32_run,3,37658439,147,159,0,0,0,0
libedn_run,4,33683054,29,115,0,0,0,0
libminver_run,5,5153078,14,42,0,0,0,0
nbody_run,5,480889,0,2,0,0,0,0
libhuffbench_run,4,23744908,156,152,0,0,0,0
nettle_aes_run,5,15414909,36,38,0,0,0,0
nettle_sha256_run,5,8420544,2,19,0,0,0,0
basicmath_small_run,3,68988187,118,760,0,0,2,0
matmult_int_run,4,51657891,118,778,0,0,0,0
libsichneu_run,5,12418753,16,11733,0,0,0,0
libpicojpeg_test_run,5,19234913,9,737,0,0,0,0
md5_run,4,51522712,33,343,0,0,4,0
primecount_run,5,17912131,0,7,0,0,0,0
qrtest_run,5,14883976,0,124,0,0,0,0
combined_run,2,27470197,59,303,0,0,3,0
libslre_run,3,24808308,127,199,0,0,0,0
libstatemate_run,4,4322142,5,47,0,0,1,0
tarfind_run,4,4403383,26,17,0,0,0,0
libst_run,3,25160072,96,148,0,0,0,0
libud_run,4,19858745,2,18,0,0,0,0
libwikisort_run,4,2914334,22,28,0,0,0,0
mont64_run,2,52372151,42,345,0,0,0,0
crc_32_run,3,37656149,129,169,0,0,0,0
libedn_run,4,33659625,35,118,0,0,0,0
libminver_run,5,5129710,7,14,0,0,0,0
nbody_run,5,481275,1,2,0,0,0,0
libhuffbench_run,4,23741782,138,113,0,0,0,0
nettle_aes_run,5,15421501,47,62,0,0,0,0
nettle_sha256_run,5,8417292,2,10,0,0,0,0
basicmath_small_run,3,68987645,98,808,0,0,2,1
matmult_int_run,4,51656705,89,762,0,0,1,0
libsichneu_run,5,12421182,19,11713,0,0,0,0
libpicojpeg_test_run,5,19234408,15,724,0,0,1,0
md5_run,4,51521595,33,349,0,0,0,0
primecount_run,5,17911577,5,11,0,0,0,0
qrtest_run,5,14884511,0,94,0,0,0,0
combined_run,2,27468221,82,342,0,0,3,0
libslre_run,3,24803596,142,188,0,0,0,0
libstatemate_run,4,4322195,5,51,0,0,1,0
tarfind_run,4,4402956,18,10,0,0,0,0
libst_run,3,25085007,58,161,0,0,0,0
libud_run,4,19782447,6,31,0,0,0,0
libwikisort_run,4,2915266,13,17,0,0,0,0
mont64_run,2,52355928,48,327,0,0,0,0
crc_32_run,3,37654328,168,165,0,0,0,0
libedn_run,4,33671392,23,108,0,0,0,0
libminver_run,5,5138957,4,23,0,0,0,0
nbody_run,5,481781,2,3,0,0,0,0
libhuffbench_run,4,23739566,164,115,0,0,0,0
nettle_aes_run,5,15421397,61,54,0,0,0,0
nettle_sha256_run,5,8417473,8,34,0,0,0,0
basicmath_small_run,3,68976810,89,768,0,0,1,1
matmult_int_run,4,51654263,123,758,0,0,0,0
libsichneu_run,5,12439150,16,11150,0,0,0,0
libpicojpeg_test_run,5,19230646,8,709,0,0,0,0
md5_run,4,51516869,30,323,0,0,0,0
primecount_run,5,17912728,4,17,0,0,0,0
qrtest_run,5,14877400,1,114,0,0,0,0
combined_run,2,27468183,67,324,0,0,0,0
libslre_run,3,24810349,135,187,0,0,0,0
libstatemate_run,4,4322144,10,37,0,0,0,0
tarfind_run,4,4402653,23,11,0,0,0,0
libst_run,3,25098009,44,150,0,0,0,0
libud_run,4,19796687,2,13,0,0,0,0
libwikisort_run,4,2914104,10,12,0,0,0,0
mont64_run,2,52369957,48,327,0,0,0,0
crc_32_run,3,37651841,118,163,0,0,0,0
